Origen,Destino,Distancia,Linea
San Joaquín_L7,Tacuba_L7,1826.5669702683465,7
Tacuba_L7,Refinería_L7,899.617983264405,7
Refinería_L7,Camarones_L7,2041.9643872679003,7
Camarones_L7,Aquiles Serdán_L7,971.766614112384,7
Aquiles Serdán_L7,El Rosario_L7,1845.0947176519635,7
Constitución de 1917_L8,UAM-I_L8,1424.3797281536486,8
UAM-I_L8,Cerro de la Estrella_L8,1082.781552332134,8
Cerro de la Estrella_L8,Iztapalapa_L8,951.764965838684,8
Iztapalapa_L8,Atlalilco_L8,781.5458631008077,8
Atlalilco_L8,Escuadrón 201_L8,2221.732452118389,8
Escuadrón 201_L8,Aculco_L8,794.6839257351163,8
Aculco_L8,Apatlaco_L8,677.5950551850156,8
Apatlaco_L8,Iztacalco_L8,864.289410343433,8
Iztacalco_L8,Coyuya_L8,1343.3116126886844,8
Coyuya_L8,Santa Anita_L8,929.5321217843812,8
Santa Anita_L8,La Viga_L8,983.162468447326,8
La Viga_L8,Chabacano_L8,904.732594526863,8
Chabacano_L8,Obrera_L8,1185.9251029678849,8
Obrera_L8,Doctores_L8,1082.8122203541918,8
Doctores_L8,Salto del Agua_L8,590.0493212362094,8
Salto del Agua_L8,San Juan de Letrán_L8,248.49739140546487,8
San Juan de Letrán_L8,Bellas Artes_L8,936.2794674740142,8
Bellas Artes_L8,Garibaldi y Lagunilla_L8,714.8808714000538,8
Pantitlán_L9,Puebla_L9,1615.1167459767055,9
Puebla_L9,Ciudad Deportiva_L9,781.62753070068,9
Ciudad Deportiva_L9,Velódromo_L9,1427.7906578277152,9
Velódromo_L9,Mixiuhca_L9,967.4609852447816,9
Mixiuhca_L9,Jamaica_L9,878.2344034181278,9
Jamaica_L9,Chabacano_L9,1412.0641971979887,9
Chabacano_L9,Lázaro Cárdenas_L9,1141.5579414632653,9
Lázaro Cárdenas_L9,Centro Médico_L9,1183.440616834622,9
Centro Médico_L9,Chilpancingo_L9,1319.8211941573145,9
Chilpancingo_L9,Patriotismo_L9,939.5251342167657,9
Patriotismo_L9,Tacubaya_L9,1281.761543553224,9
La Paz_LA,Los Reyes_LA,2194.969509050957,A
Los Reyes_LA,Santa Marta_LA,1755.8577235039215,A
Santa Marta_LA,Acatitla_LA,1422.5640449846403,A
Acatitla_LA,Penón Viejo_LA,1348.5094870560542,A
Penón Viejo_LA,Guelatao_LA,2355.5794631288527,A
Guelatao_LA,Tepalcates_LA,1312.7900679509555,A
Tepalcates_LA,Canal de San Juan_LA,1619.6176024701194,A
Canal de San Juan_LA,Agrícola Oriental_LA,1410.5572602181328,A
Agrícola Oriental_LA,Pantitlán_LA,1464.8366784372038,A
Buenavista_LB,Guerrero_LB,1315.9065757200908,B
Guerrero_LB,Garibaldi y Lagunilla_LB,149.99688633900337,B
Garibaldi y Lagunilla_LB,Lagunilla_LB,842.9571210550179,B
Lagunilla_LB,Tepito_LB,736.399050364856,B
Tepito_LB,Morelos_LB,663.1823421761328,B
Morelos_LB,San Lázaro_LB,1243.4788425146514,B
San Lázaro_LB,Ricardo Flores Magón_LB,1160.527756085647,B
Ricardo Flores Magón_LB,Romero Rubio_LB,1116.676893507201,B
Romero Rubio_LB,Oceanía_LB,815.8238551958084,B
Oceanía_LB,Deportivo Oceanía_LB,1099.3043248321665,B
Deportivo Oceanía_LB,Bosque de Aragón_LB,1226.752928585057,B
Bosque de Aragón_LB,Villa de Aragón_LB,1114.2262125493974,B
Villa de Aragón_LB,Nezahualcóyotl_LB,1471.3872095432816,B
Nezahualcóyotl_LB,Impulsora_LB,1549.8222110187403,B
Impulsora_LB,Río de los Remedios_LB,596.1025147370824,B
Río de los Remedios_LB,Múzquiz_LB,1300.6682101582471,B
Múzquiz_LB,Ecatepec_LB,1628.940734465463,B
Ecatepec_LB,Olímpica_LB,745.6404751004205,B
Olímpica_LB,Plaza Aragón_LB,858.9653993568305,B
Plaza Aragón_LB,Ciudad Azteca_LB,631.4623466426982,B
Tláhuac_L12,Tlaltenco_L12,1531.5522003134265,12
Tlaltenco_L12,Zapotitlán_L12,1256.3976811634243,12
Zapotitlán_L12,Nopalera_L12,1426.5758820704664,12
Nopalera_L12,Olivos_L12,1510.2818539213563,12
Olivos_L12,Tezonco_L12,639.9991457053907,12
Tezonco_L12,Periférico Oriente_L12,1694.3766755242366,12
Periférico Oriente_L12,Calle 11_L12,1262.5621464946053,12
Calle 11_L12,Lomas Estrella_L12,1054.0291903408547,12
Lomas Estrella_L12,San Andrés Tomatlán_L12,1208.4232074731149,12
San Andrés Tomatlán_L12,Culhuacán_L12,1136.8057362372328,12
Culhuacán_L12,Atlalilco_L12,1830.0459467089916,12
Atlalilco_L12,Mexicaltzingo_L12,1883.4700498804089,12
Mexicaltzingo_L12,Ermita_L12,1973.110718291713,12
Ermita_L12,Eje Central_L12,1305.4066789623405,12
Eje Central_L12,Parque de los Venados_L12,1332.176435365221,12
Parque de los Venados_L12,Zapata_L12,631.85047492151,12
Zapata_L12,Hospital 20 de Noviembre_L12,785.8993988215775,12
Hospital 20 de Noviembre_L12,Insurgentes Sur_L12,543.9952278841345,12
Insurgentes Sur_L12,Mixcoac_L12,1021.633389980905,12
Pantitlán_L1,Pantitlán_L5,3645.8333333333335,1-5
Pantitlán_L1,Pantitlán_L9,3645.8333333333335,1-9
Pantitlán_L1,Pantitlán_LA,4389.583333333334,1-A
Pantitlán_L5,Pantitlán_L9,2552.083333333333,5-9
Pantitlán_L5,Pantitlán_LA,3135.416666666667,5-A
Pantitlán_L9,Pantitlán_LA,3645.8333333333335,9-A
San Lázaro_L1,San Lázaro_LB,2996.875,1-B
Candelaria_L1,Candelaria_L4,2573.958333333333,1-4
Pino Suárez_L1,Pino Suárez_L2,1458.3333333333337,1-2
Salto del Agua_L1,Salto del Agua_L8,1822.9166666666667,1-8
Balderas_L1,Balderas_L3,2005.2083333333333,1-3
Tacubaya_L1,Tacubaya_L7,2916.666666666667,1-7
Tacubaya_L1,Tacubaya_L9,2916.666666666667,1-9
Tacubaya_L7,Tacubaya_L9,2916.666666666667,7-9
Ermita_L2,Ermita_L12,4265.625,12-2
Chabacano_L2,Chabacano_L8,2734.375,2-8
Chabacano_L2,Chabacano_L9,2734.375,2-9
Chabacano_L8,Chabacano_L9,2734.375,8-9
Bellas Artes_L2,Bellas Artes_L8,525.0,2-8
Hidalgo_L2,Hidalgo_L3,1276.0416666666667,2-3
Tacuba_L2,Tacuba_L7,2187.5,2-7
Zapata_L3,Zapata_L12,1822.9166666666667,12-3
Centro Médico_L3,Centro Médico_L9,2734.375,3-9
Guerrero_L3,Guerrero_LB,1822.9166666666667,3-B
La Raza_L3,La Raza_L5,3653.125,3-5
Deportivo 18 de Marzo_L3,Deportivo 18 de Marzo_L6,1822.9166666666667,3-6
Santa Anita_L4,Santa Anita_L8,1822.9166666666667,4-8
Jamaica_L4,Jamaica_L9,2800.0,4-9
Morelos_L4,Morelos_LB,1458.3333333333337,4-B
Consulado_L4,Consulado_L5,3558.333333333333,4-5
Oceanía_L5,Oceanía_LB,430.20833333333337,5-B
Instituto del Petróleo_L5,Instituto del Petróleo_L6,3448.958333333333,5-6
Martín Carrera_L6,Martín Carrera_L4,1458.3333333333337,4-6
Mixcoac_L7,Mixcoac_L12,3500.0,12-7
Atlalilco_L8,Atlalilco_L12,6423.958333333334,12-8
Garibaldi y Lagunilla_LB,Garibaldi y Lagunilla_L8,1093.75,8-B
El Rosario_L6,El Rosario_L7,269.7916666666667,6-7
