Nombre_Estacion,Latitud,Longitud,Sequence,ID,Linea
Terminal Aérea,19.4343454880001,-99.0879957449999,151,SH0200L5000_0,5
Oceanía,19.4459121293613,-99.08728630583929,"119,89","SH0200L5000_0,SH0200LB000_0","5,B"
Aragón,19.451527206,-99.095477493,93,SH0200L5000_0,5
Eduardo Molina,19.4516788329127,-99.1060682827664,75,SH0200L5000_0,5
Valle Gómez,19.458579062353,-99.11860881865508,57,SH0200L5000_0,5
Misterios,19.4628402485225,-99.1297762662827,46,SH0200L5000_0,5
Autobuses del Norte,19.479807350508302,-99.1409406092738,25,SH0200L5000_0,5
Instituto del Petróleo,19.488653957265,-99.14443749769327,"16,88","SH0200L5000_0,SH0200L6000_0","5,6"
Politécnico,19.5006786989004,-99.1492059930465,1,SH0200L5000_0,5
La Villa y Basílica,19.4817788878622,-99.11920586554449,126,SH0200L6000_0,6
Lindavista,19.48775237381989,-99.1343002426164,104,SH0200L6000_0,6
Vallejo,19.4915398092476,-99.153408448129,78,SH0200L6000_0,6
Norte 45,19.4890212278246,-99.1636381012776,64,SH0200L6000_0,6
Ferrería y Arena Ciudad de México,19.4905832210001,-99.174592592,49,SH0200L6000_0,6
UAM Azcapotzalco,19.491605309,-99.188724824,38,SH0200L6000_0,6
Tezozómoc,19.495563435000104,-99.197993218,22,SH0200L6000_0,6
El Rosario,19.5046301438342,-99.19976981604844,"1,1","SH0200L6000_0,SH0200L7000_0","6,7"
Barranca del Muerto,19.3615015633223,-99.1892637065063,158,SH0200L7000_0,7
Mixcoac,19.3717304684312,-99.1881176225093,"157,1","SH0200L7000_0,SH020L12000_0","7,12"
San Antonio,19.385881824611,-99.1864219140244,155,SH0200L7000_0,7
San Pedro de los Pinos,19.3912265658327,-99.185835844654,153,SH0200L7000_0,7
Constituyentes,19.412538433062,-99.1916480273807,135,SH0200L7000_0,7
Auditorio,19.427610970394,-99.1917723749248,103,SH0200L7000_0,7
Polanco,19.431848539876,-99.1911144762668,100,SH0200L7000_0,7
San Joaquín,19.4435637918242,-99.19196809503391,79,SH0200L7000_0,7
Refinería,19.4651628770604,-99.1907147613925,37,SH0200L7000_0,7
Camarones,19.483589648336302,-99.1898201430274,36,SH0200L7000_0,7
Aquiles Serdán,19.49037725438649,-99.1951442137108,21,SH0200L7000_0,7
Constitución de 1917,19.3459684058057,-99.06379884969591,194,SH0200L8000_0,8
UAM-I,19.3515890573441,-99.0759917228688,190,SH0200L8000_0,8
Cerro de la Estrella,19.3558277706884,-99.0852786882657,184,SH0200L8000_0,8
Iztapalapa,19.3578596683221,-99.0933272589204,169,SH0200L8000_0,8
Atlalilco,19.35618779682149,-99.1005373992909,"162,109","SH0200L8000_0,SH020L12000_0","8,12"
Escuadrón 201,19.3670773440001,-99.10897597599993,140,SH0200L8000_0,8
Aculco,19.3741026689292,-99.1077456498839,128,SH0200L8000_0,8
Apatlaco,19.37989457211,-99.1098083864308,117,SH0200L8000_0,8
Iztacalco,19.3874195696343,-99.1119185299568,111,SH0200L8000_0,8
Coyuya,19.3991945870001,-99.1135280189999,90,SH0200L8000_0,8
La Viga,19.4072584978164,-99.12638799788608,48,SH0200L8000_0,8
Obrera,19.4122139940001,-99.144142824,18,SH0200L8000_0,8
Doctores,19.421950114331104,-99.1431480784582,17,SH0200L8000_0,8
San Juan de Letrán,19.4293718215454,-99.14158799297908,8,SH0200L8000_0,8
Garibaldi y Lagunilla,19.4440012887602,-99.1390044128348,"1,6","SH0200L8000_0,SH0200LB000_0","8,B"
Puebla,19.4072991050001,-99.083104727,23,SH0200L9000_0,9
Ciudad Deportiva,19.4083279915833,-99.0904670422945,24,SH0200L9000_0,9
Velódromo,19.4085166235986,-99.1039498462658,44,SH0200L9000_0,9
Mixiuhca,19.4083729960702,-99.1131488872607,53,SH0200L9000_0,9
Lázaro Cárdenas,19.4071749381778,-99.1455391627523,87,SH0200L9000_0,9
Chilpancingo,19.4059066788924,-99.1693323727757,93,SH0200L9000_0,9
Patriotismo,19.4058843131082,-99.178231992679,108,SH0200L9000_0,9
La Paz,19.3505615721907,-98.9609372506497,115,SH0200LA000_0,A
Los Reyes,19.358900651944,-98.9777288907947,86,SH0200LA000_0,A
Santa Marta,19.3602336008896,-98.994349133389,71,SH0200LA000_0,A
Acatitla,19.3652409660579,-99.0063225904129,56,SH0200LA000_0,A
Penón Viejo,19.3728105525824,-99.0163749968221,51,SH0200LA000_0,A
Guelatao,19.38472046265889,-99.0349143026566,40,SH0200LA000_0,A
Tepalcates,19.390861702691,-99.0456046754554,33,SH0200LA000_0,A
Canal de San Juan,19.3984097764476,-99.0588128084052,29,SH0200LA000_0,A
Agrícola Oriental,19.4050322400204,-99.0702854089748,24,SH0200LA000_0,A
Buenavista,19.446185903558,-99.1523513773835,1,SH0200LB000_0,B
Lagunilla,19.443239311019003,-99.13060298216008,12,SH0200LB000_0,B
Tepito,19.4427545509938,-99.1236100986771,19,SH0200LB000_0,B
Ricardo Flores Magón,19.436595464,-99.10364204099992,82,SH0200LB000_0,B
Romero Rubio,19.44091415255789,-99.09403227276007,85,SH0200LB000_0,B
Deportivo Oceanía,19.4510453020001,-99.079270609,96,SH0200LB000_0,B
Bosque de Aragón,19.45764922469689,-99.0699008536222,101,SH0200LB000_0,B
Villa de Aragón,19.46193616301111,-99.0604758059323,117,SH0200LB000_0,B
Nezahualcóyotl,19.4735583265944,-99.0543165730999,140,SH0200LB000_0,B
Impulsora,19.4864801182067,-99.0486346360025,145,SH0200LB000_0,B
Río de los Remedios,19.4914512761912,-99.0464518205736,147,SH0200LB000_0,B
Múzquiz,19.5023065588794,-99.04171031265508,152,SH0200LB000_0,B
Ecatepec,19.515885895811103,-99.0357329929144,164,SH0200LB000_0,B
Olímpica,19.5221032475068,-99.03300825826192,169,SH0200LB000_0,B
Plaza Aragón,19.5292471772558,-99.0298219725198,174,SH0200LB000_0,B
Ciudad Azteca,19.5345130652073,-99.0275097175891,179,SH0200LB000_0,B
Tláhuac,19.2860222775039,-99.01419832429008,388,SH020L12000_0,12
Tlaltenco,19.2949655166337,-99.0244920444882,354,SH020L12000_0,12
Zapotitlán,19.2965527299843,-99.03496512460958,322,SH020L12000_0,12
Nopalera,19.3000324494393,-99.0467173995475,271,SH020L12000_0,12
Olivos,19.3045560285911,-99.0601908053412,253,SH020L12000_0,12
Tezonco,19.3065334420388,-99.0659130794816,251,SH020L12000_0,12
Periférico Oriente,19.3180420832278,-99.075022740821,211,SH020L12000_0,12
Calle 11,19.3205964184436,-99.0866074677821,200,SH020L12000_0,12
Lomas Estrella,19.3222565203132,-99.0964833615909,197,SH020L12000_0,12
San Andrés Tomatlán,19.3284353760642,-99.1051784682398,157,SH020L12000_0,12
Culhuacán,19.3374528573156,-99.1089358863137,130,SH020L12000_0,12
Mexicaltzingo,19.3576407392103,-99.1220620678615,69,SH020L12000_0,12
Eje Central,19.36158014243161,-99.1529777984835,56,SH020L12000_0,12
Parque de los Venados,19.3707245113706,-99.159107989881,37,SH020L12000_0,12
Hospital 20 de Noviembre,19.3723200211786,-99.1722674393244,16,SH020L12000_0,12
Insurgentes Sur,19.37334207268211,-99.1773314879926,7,SH020L12000_0,12
