Nombre_Estacion,Latitud,Longitud,Sequence,ID,Linea
Pantitlán,19.4151047731458,-99.0743288080277,192,SH0200L5000_0,5
Hangares,19.4247798677784,-99.08887052973829,175,SH0200L5000_0,5
Terminal Aérea,19.4343454880001,-99.0879957449999,151,SH0200L5000_0,5
Oceanía,19.4459121293613,-99.08728630583929,119,SH0200L5000_0,5
Aragón,19.451527206,-99.095477493,93,SH0200L5000_0,5
Eduardo Molina,19.4516788329127,-99.1060682827664,75,SH0200L5000_0,5
Consulado,19.45563876219461,-99.11416040905,65,SH0200L5000_0,5
Valle Gómez,19.458579062353,-99.11860881865508,57,SH0200L5000_0,5
Misterios,19.4628402485225,-99.1297762662827,46,SH0200L5000_0,5
La Raza,19.47033415095089,-99.1369781330294,36,SH0200L5000_0,5
Autobuses del Norte,19.479807350508302,-99.1409406092738,25,SH0200L5000_0,5
Instituto del Petróleo,19.488653957265,-99.14443749769327,16,SH0200L5000_0,5
Politécnico,19.5006786989004,-99.1492059930465,1,SH0200L5000_0,5
