Nombre_Estacion,Latitud,Longitud,Sequence,ID,Linea
Tláhuac,19.2860222775039,-99.01419832429008,388,SH020L12000_0,12
Tlaltenco,19.2949655166337,-99.0244920444882,354,SH020L12000_0,12
Zapotitlán,19.2965527299843,-99.03496512460958,322,SH020L12000_0,12
Nopalera,19.3000324494393,-99.0467173995475,271,SH020L12000_0,12
Olivos,19.3045560285911,-99.0601908053412,253,SH020L12000_0,12
Tezonco,19.3065334420388,-99.0659130794816,251,SH020L12000_0,12
Periférico Oriente,19.3180420832278,-99.075022740821,211,SH020L12000_0,12
Calle 11,19.3205964184436,-99.0866074677821,200,SH020L12000_0,12
Lomas Estrella,19.3222565203132,-99.0964833615909,197,SH020L12000_0,12
San Andrés Tomatlán,19.3284353760642,-99.1051784682398,157,SH020L12000_0,12
Culhuacán,19.3374528573156,-99.1089358863137,130,SH020L12000_0,12
Atlalilco,19.3537249683483,-99.1060696151498,109,SH020L12000_0,12
Mexicaltzingo,19.3576407392103,-99.1220620678615,69,SH020L12000_0,12
Ermita,19.3597279496597,-99.1407127878822,64,SH020L12000_0,12
Eje Central,19.36158014243161,-99.1529777984835,56,SH020L12000_0,12
Parque de los Venados,19.3707245113706,-99.159107989881,37,SH020L12000_0,12
Zapata,19.3707092872326,-99.16498177384908,19,SH020L12000_0,12
Hospital 20 de Noviembre,19.3723200211786,-99.1722674393244,16,SH020L12000_0,12
Insurgentes Sur,19.37334207268211,-99.1773314879926,7,SH020L12000_0,12
Mixcoac,19.3756988232426,-99.1867305010632,1,SH020L12000_0,12
