Nombre_Estacion,Latitud,Longitud,Sequence,ID,Linea
Barranca del Muerto,19.3615015633223,-99.1892637065063,158,SH0200L7000_0,7
Mixcoac,19.3717304684312,-99.1881176225093,157,SH0200L7000_0,7
San Antonio,19.385881824611,-99.1864219140244,155,SH0200L7000_0,7
San Pedro de los Pinos,19.3912265658327,-99.185835844654,153,SH0200L7000_0,7
Tacubaya,19.4021902182198,-99.1867544589638,142,SH0200L7000_0,7
Constituyentes,19.412538433062,-99.1916480273807,135,SH0200L7000_0,7
Auditorio,19.427610970394,-99.1917723749248,103,SH0200L7000_0,7
Polanco,19.431848539876,-99.1911144762668,100,SH0200L7000_0,7
San Joaquín,19.4435637918242,-99.19196809503391,79,SH0200L7000_0,7
Tacuba,19.4589964275905,-99.1869915854369,61,SH0200L7000_0,7
Refinería,19.4651628770604,-99.1907147613925,37,SH0200L7000_0,7
Camarones,19.483589648336302,-99.1898201430274,36,SH0200L7000_0,7
Aquiles Serdán,19.49037725438649,-99.1951442137108,21,SH0200L7000_0,7
El Rosario,19.5047378741249,-99.20011586554968,1,SH0200L7000_0,7
