Nombre_Estacion,Latitud,Longitud,Sequence,ID,Linea
Universidad,19.3243534831642,-99.1739384554613,156,SH0200L3000_0,3
Copilco,19.3365855019715,-99.1778284769013,142,SH0200L3000_0,3
Miguel Ángel de Quevedo,19.3472357838387,-99.1805547374596,130,SH0200L3000_0,3
Viveros y  Derechos Humanos,19.35362196086389,-99.1758005004939,114,SH0200L3000_0,3
Coyoacán,19.3619878102542,-99.17057094643091,104,SH0200L3000_0,3
Zapata,19.3707930345434,-99.1647634807563,95,SH0200L3000_0,3
División del Norte,19.3801345121089,-99.1589179361435,93,SH0200L3000_0,3
Eugenia,19.38535076116269,-99.1573997632629,89,SH0200L3000_0,3
Etiopía y Plaza de la Transparencia,19.396499785000103,-99.155985727,86,SH0200L3000_0,3
Centro Médico,19.406740858,-99.155185301,85,SH0200L3000_0,3
Hospital General,19.4132699256478,-99.154183475468,75,SH0200L3000_0,3
Niños Héroes y  Poder Judicial CDMX,19.4208136697051,-99.1501872227413,66,SH0200L3000_0,3
Balderas,19.4273321540674,-99.1488905091504,64,SH0200L3000_0,3
Juárez,19.432735919668,-99.1477842586891,61,SH0200L3000_0,3
Hidalgo,19.43793677448669,-99.1465967230922,56,SH0200L3000_0,3
Guerrero,19.445197570000104,-99.145090836,53,SH0200L3000_0,3
Tlatelolco,19.454448412657896,-99.1431058223448,47,SH0200L3000_0,3
La Raza,19.4705950313538,-99.1380777673472,25,SH0200L3000_0,3
Potrero,19.4777198119164,-99.1315802587772,15,SH0200L3000_0,3
Deportivo 18 de Marzo,19.485661421867302,-99.1250481213507,13,SH0200L3000_0,3
Indios Verdes,19.495337618202,-99.11950993810048,1,SH0200L3000_0,3
