Nombre_Estacion,Latitud,Longitud,Sequence,ID,Linea
Santa Anita,19.4028915722936,-99.1216956039666,1,SH0200L4000_0,4
Jamaica,19.4103518481071,-99.12173432920191,8,SH0200L4000_0,4
Fray Servando,19.4209902648544,-99.1206163484048,14,SH0200L4000_0,4
Candelaria,19.4293994255132,-99.11932720883742,19,SH0200L4000_0,4
Morelos,19.4402440278527,-99.1180448336574,31,SH0200L4000_0,4
Canal del Norte,19.4496191599354,-99.1159679959138,38,SH0200L4000_0,4
Consulado,19.45870198580711,-99.11373467803058,41,SH0200L4000_0,4
Bondojito,19.4642437032765,-99.1121210999052,46,SH0200L4000_0,4
Talismán,19.4749234835019,-99.1078545190412,56,SH0200L4000_0,4
Martín Carrera,19.485044145000103,-99.104369477,71,SH0200L4000_0,4
