Nombre_Estacion,Latitud,Longitud,Sequence,ID,Linea
Pantitlán,19.4153511689158,-99.0722053449007,1,SH0200L9000_0,9
Puebla,19.4072991050001,-99.083104727,23,SH0200L9000_0,9
Ciudad Deportiva,19.4083279915833,-99.0904670422945,24,SH0200L9000_0,9
Velódromo,19.4085166235986,-99.1039498462658,44,SH0200L9000_0,9
Mixiuhca,19.4083729960702,-99.1131488872607,53,SH0200L9000_0,9
Jamaica,19.4091836678089,-99.1214612302355,64,SH0200L9000_0,9
Chabacano,19.408449389437,-99.1348627277781,75,SH0200L9000_0,9
Lázaro Cárdenas,19.4071749381778,-99.1455391627523,87,SH0200L9000_0,9
Centro Médico,19.4065346187776,-99.156785069568,89,SH0200L9000_0,9
Chilpancingo,19.4059066788924,-99.1693323727757,93,SH0200L9000_0,9
Patriotismo,19.4058843131082,-99.178231992679,108,SH0200L9000_0,9
Tacubaya,19.4014605795908,-99.1877610914472,140,SH0200L9000_0,9
