shape_id,shape_pt_sequence,shape_pt_lon,shape_dist_traveled,shape_pt_lat
SH0200L3000_0,1,-99.11950993810048,0.0,19.495337618202
SH0200L3000_0,2,-99.1197283494958,0.11,19.4944069641572
SH0200L3000_0,3,-99.1200159500184,0.24,19.493261653670302
SH0200L3000_0,4,-99.1200891132164,0.27,19.4929782606364
SH0200L3000_0,5,-99.1201313574922,0.29,19.492822572454
SH0200L3000_0,6,-99.12022038061156,0.32,19.492552805859106
SH0200L3000_0,7,-99.120445827,0.4,19.491844132
SH0200L3000_0,8,-99.1205512367428,0.44,19.4915335975722
SH0200L3000_0,9,-99.1206650779999,0.47,19.491272353000102
SH0200L3000_0,10,-99.12092521741128,0.53,19.4907819072253
SH0200L3000_0,11,-99.1212145896298,0.59,19.490338404991697
SH0200L3000_0,12,-99.1221065358204,0.75,19.48921545023289
SH0200L3000_0,13,-99.1250481213507,1.25,19.485661421867302
SH0200L3000_0,14,-99.1260747764598,1.43,19.4844122734895
SH0200L3000_0,15,-99.1315802587772,2.37,19.4777198119164
SH0200L3000_0,16,-99.13259415684092,2.54,19.476485133271503
SH0200L3000_0,17,-99.1347978093752,2.92,19.4738006172513
SH0200L3000_0,18,-99.1350612237256,2.96,19.473543989575
SH0200L3000_0,19,-99.135325255983,3.0,19.47333146317
SH0200L3000_0,20,-99.1356024018742,3.04,19.4731246651995
SH0200L3000_0,21,-99.1361716205506,3.12,19.4727121166467
SH0200L3000_0,22,-99.136419520044,3.15,19.4725053393978
SH0200L3000_0,23,-99.13665732988,3.18,19.4722928307838
SH0200L3000_0,24,-99.1368628551902,3.21,19.4720631303402
SH0200L3000_0,25,-99.1380777673472,3.42,19.4705950313538
SH0200L3000_0,26,-99.1414725786058,4.0,19.4665194169747
SH0200L3000_0,27,-99.1416538720321,4.03,19.4662706011509
SH0200L3000_0,28,-99.1417595881687,4.05,19.466081621725603
SH0200L3000_0,29,-99.14182746270642,4.08,19.4658615875662
SH0200L3000_0,30,-99.1419233885922,4.13,19.465431114736
SH0200L3000_0,31,-99.1419755445288,4.17,19.4651097102272
SH0200L3000_0,32,-99.142007412837,4.22,19.4646505942928
SH0200L3000_0,33,-99.142003955,4.27,19.464206536000106
SH0200L3000_0,34,-99.1419704795306,4.34,19.4635627927218
SH0200L3000_0,35,-99.141924910778,4.39,19.4631246594689
SH0200L3000_0,36,-99.1418772152418,4.43,19.4628128945674
SH0200L3000_0,37,-99.14188212889732,4.45,19.4626297353901
SH0200L3000_0,38,-99.1419077023225,4.47,19.4624690334924
SH0200L3000_0,39,-99.1419979476693,4.51,19.46214304755049
SH0200L3000_0,40,-99.14315401833392,5.05,19.4573664355699
SH0200L3000_0,41,-99.14317634109744,5.06,19.4572492928245
SH0200L3000_0,42,-99.14318703250667,5.07,19.4571379547321
SH0200L3000_0,43,-99.143192226559,5.08,19.45702158923
SH0200L3000_0,44,-99.1431928382042,5.1,19.4568596260155
SH0200L3000_0,45,-99.14319101849968,5.14,19.4565095702842
SH0200L3000_0,46,-99.1431816225473,5.18,19.4561437392546
SH0200L3000_0,47,-99.1431058223448,5.37,19.454448412657896
SH0200L3000_0,48,-99.1430995611156,5.4,19.4542073945668
SH0200L3000_0,49,-99.1431074833228,5.42,19.4540428805287
SH0200L3000_0,50,-99.1431464201886,5.45,19.453793059386
SH0200L3000_0,51,-99.14328568699992,5.52,19.453173291
SH0200L3000_0,52,-99.1436702889999,5.7,19.451632075000106
SH0200L3000_0,53,-99.145090836,6.43,19.445197570000104
SH0200L3000_0,54,-99.1464649240464,7.15,19.43888055748
SH0200L3000_0,55,-99.14652371975453,7.2,19.438412235948103
SH0200L3000_0,56,-99.1465967230922,7.25,19.43793677448669
SH0200L3000_0,57,-99.1470463662038,7.41,19.4365965745274
SH0200L3000_0,58,-99.1471135223407,7.44,19.436358054122103
SH0200L3000_0,59,-99.14726998646692,7.53,19.4355541898329
SH0200L3000_0,60,-99.1473366057259,7.59,19.4350170006682
SH0200L3000_0,61,-99.1477842586891,7.85,19.432735919668
SH0200L3000_0,62,-99.14831814448792,8.15,19.4300902622378
SH0200L3000_0,63,-99.1485478265004,8.27,19.4290445676519
SH0200L3000_0,64,-99.1488905091504,8.46,19.4273321540674
SH0200L3000_0,65,-99.149566346,8.84,19.423944137
SH0200L3000_0,66,-99.1501872227413,9.19,19.4208136697051
SH0200L3000_0,67,-99.1508482939336,9.75,19.4158497674916
SH0200L3000_0,68,-99.1509354308326,9.82,19.415237092464
SH0200L3000_0,69,-99.1509565300881,9.83,19.415161037598697
SH0200L3000_0,70,-99.150998364,9.84,19.4150806750001
SH0200L3000_0,71,-99.15106794422243,9.85,19.4149818019418
SH0200L3000_0,72,-99.1511781528722,9.87,19.4148703704855
SH0200L3000_0,73,-99.151329877,9.89,19.414770113
SH0200L3000_0,74,-99.15163545699993,9.93,19.414597617
SH0200L3000_0,75,-99.154183475468,10.24,19.4132699256478
SH0200L3000_0,76,-99.1543210474066,10.26,19.4131834518087
SH0200L3000_0,77,-99.1544054088845,10.27,19.413116429014305
SH0200L3000_0,78,-99.1544922791379,10.28,19.4130374484903
SH0200L3000_0,79,-99.1545677928762,10.29,19.4129417398067
SH0200L3000_0,80,-99.1546269313028,10.3,19.412852022807
SH0200L3000_0,81,-99.1546747211508,10.31,19.4127539465593
SH0200L3000_0,82,-99.15471492792892,10.32,19.41263196564089
SH0200L3000_0,83,-99.1547432857414,10.33,19.4125054516927
SH0200L3000_0,84,-99.154981425,10.65,19.409610081
SH0200L3000_0,85,-99.155185301,10.97,19.406740858
SH0200L3000_0,86,-99.155985727,12.11,19.396499785000103
SH0200L3000_0,87,-99.1564267209999,12.73,19.390908592000105
SH0200L3000_0,88,-99.1568488089999,13.09,19.3876592720001
