shape_id,shape_pt_sequence,shape_pt_lon,shape_dist_traveled,shape_pt_lat
SH0200L5000_0,1,-99.1492059930465,0.0,19.5006786989004
SH0200L5000_0,2,-99.1488993131683,0.09,19.499912621001503
SH0200L5000_0,3,-99.1484492512593,0.22,19.4987931880848
SH0200L5000_0,4,-99.14832280406073,0.26,19.4984806997278
SH0200L5000_0,5,-99.148128034,0.31,19.498075482
SH0200L5000_0,6,-99.1479579114069,0.35,19.4977278280782
SH0200L5000_0,7,-99.147777907,0.4,19.497345093
SH0200L5000_0,8,-99.147238956,0.56,19.496006969000103
SH0200L5000_0,9,-99.1469061852215,0.66,19.495150748669698
SH0200L5000_0,10,-99.146363126,0.82,19.493839154000103
SH0200L5000_0,11,-99.1461158900671,0.9,19.49314718356069
SH0200L5000_0,12,-99.14596297708653,0.95,19.4927348436856
SH0200L5000_0,13,-99.14576696091429,1.03,19.4920535405918
SH0200L5000_0,14,-99.145604453,1.08,19.491644967000106
SH0200L5000_0,15,-99.1449866079999,1.27,19.490036253
SH0200L5000_0,16,-99.14443749769327,1.43,19.488653957265
SH0200L5000_0,17,-99.144143221976,1.52,19.4879142768747
SH0200L5000_0,18,-99.14405756068,1.54,19.487728685895103
SH0200L5000_0,19,-99.1439673529999,1.56,19.487534743
SH0200L5000_0,20,-99.1438024939999,1.6,19.4872259850001
SH0200L5000_0,21,-99.1436304427079,1.64,19.4869238289846
SH0200L5000_0,22,-99.143447351774,1.69,19.4865202337277
SH0200L5000_0,23,-99.141399822,2.35,19.480879485000106
SH0200L5000_0,24,-99.1410677369983,2.44,19.4801186749164
SH0200L5000_0,25,-99.1409406092738,2.48,19.479807350508302
SH0200L5000_0,26,-99.1403366988974,2.66,19.478273028751
SH0200L5000_0,27,-99.139570163,2.89,19.476360329
SH0200L5000_0,28,-99.139371049,2.94,19.475932186
SH0200L5000_0,29,-99.139147866,3.0,19.475416673
SH0200L5000_0,30,-99.1387688459999,3.12,19.474400716
SH0200L5000_0,31,-99.1381792779999,3.29,19.472937915
SH0200L5000_0,32,-99.1379333017426,3.36,19.472348550024897
SH0200L5000_0,33,-99.137870074,3.38,19.47216996
SH0200L5000_0,34,-99.13747288,3.5,19.471164124
SH0200L5000_0,35,-99.137337786,3.53,19.470902677
SH0200L5000_0,36,-99.1369781330294,3.6,19.47033415095089
SH0200L5000_0,37,-99.1360479470685,3.78,19.4689912455645
SH0200L5000_0,38,-99.13409633699992,4.14,19.466370625
SH0200L5000_0,39,-99.1330006604608,4.34,19.4648620311604
SH0200L5000_0,40,-99.1329361949234,4.35,19.464780153726498
SH0200L5000_0,41,-99.13286276431772,4.36,19.464692693316
SH0200L5000_0,42,-99.1327818806664,4.37,19.4646147723684
SH0200L5000_0,43,-99.1326214282687,4.39,19.4645152103345
SH0200L5000_0,44,-99.1324668617434,4.41,19.4644267101914
SH0200L5000_0,45,-99.13194628783172,4.47,19.4641139753272
SH0200L5000_0,46,-99.1297762662827,4.74,19.4628402485225
SH0200L5000_0,47,-99.1288652855435,4.85,19.4622985967662
SH0200L5000_0,48,-99.1280446928049,4.95,19.4618101367089
SH0200L5000_0,49,-99.1278870573344,4.97,19.4617298129575
SH0200L5000_0,50,-99.12768561351092,4.99,19.4616341674438
SH0200L5000_0,51,-99.1275418756438,5.01,19.4615740128766
SH0200L5000_0,52,-99.1272946029544,5.04,19.4614790208444
SH0200L5000_0,53,-99.1266905588346,5.11,19.4612549691034
SH0200L5000_0,54,-99.1252793234672,5.27,19.4607998873272
SH0200L5000_0,55,-99.1235050509475,5.47,19.460197710183
SH0200L5000_0,56,-99.1215255280688,5.69,19.4595480379502
SH0200L5000_0,57,-99.11860881865508,6.01,19.458579062353
SH0200L5000_0,58,-99.1176360463201,6.12,19.458259766558896
SH0200L5000_0,59,-99.1174318036137,6.14,19.4581838618888
SH0200L5000_0,60,-99.117283529863,6.16,19.4581165287641
SH0200L5000_0,61,-99.1171564312564,6.18,19.4580491818374
SH0200L5000_0,62,-99.1170126798092,6.2,19.457960325645
SH0200L5000_0,63,-99.1168628641314,6.22,19.4578513879842
SH0200L5000_0,64,-99.116569281316,6.26,19.4576306390734
SH0200L5000_0,65,-99.11416040905,6.6,19.45563876219461
SH0200L5000_0,66,-99.1128915070688,6.78,19.45461642821289
SH0200L5000_0,67,-99.11232640609173,6.86,19.4541799260952
SH0200L5000_0,68,-99.11206949434342,6.89,19.4539927818988
SH0200L5000_0,69,-99.11191376236022,6.91,19.453884680613
SH0200L5000_0,70,-99.1117883056268,6.93,19.4538142204196
SH0200L5000_0,71,-99.11164646317872,6.95,19.4537425746742
SH0200L5000_0,72,-99.11145104594353,6.97,19.453658408451
SH0200L5000_0,73,-99.1112256698516,7.0,19.4535684818895
SH0200L5000_0,74,-99.1107604714354,7.05,19.4533966070902
SH0200L5000_0,75,-99.1060682827664,7.58,19.4516788329127
SH0200L5000_0,76,-99.1045326526216,7.75,19.4511167532562
SH0200L5000_0,77,-99.101528661,8.09,19.450017258000106
SH0200L5000_0,78,-99.1014007177058,8.1,19.449981321884803
SH0200L5000_0,79,-99.10122662109958,8.12,19.4499450592328
SH0200L5000_0,80,-99.10109300780609,8.13,19.449920027137303
SH0200L5000_0,81,-99.1009178005978,8.15,19.44989143143
SH0200L5000_0,82,-99.1007602480208,8.17,19.4498783679339
SH0200L5000_0,83,-99.10061782415607,8.18,19.4498724692266
SH0200L5000_0,84,-99.1004514586973,8.2,19.449874952537
SH0200L5000_0,85,-99.1002535880147,8.22,19.4498834308739
SH0200L5000_0,86,-99.100125040541,8.23,19.449897848508
SH0200L5000_0,87,-99.09994230872292,8.25,19.4499302292053
SH0200L5000_0,88,-99.0997797439932,8.27,19.449964989732106
SH0200L5000_0,89,-99.0996159246744,8.29,19.450009315224897
SH0200L5000_0,90,-99.099376504229,8.32,19.4500871574828
SH0200L5000_0,91,-99.0987172289579,8.39,19.4503250140377
SH0200L5000_0,92,-99.0970092790064,8.58,19.4509596342791
SH0200L5000_0,93,-99.095477493,8.75,19.451527206
SH0200L5000_0,94,-99.09515749207078,8.79,19.451660934156106
SH0200L5000_0,95,-99.0949745264862,8.81,19.45172989388989
SH0200L5000_0,96,-99.09481272247092,8.83,19.451777322429603
SH0200L5000_0,97,-99.0946388121456,8.85,19.451813279836102
SH0200L5000_0,98,-99.0945087535158,8.86,19.451833432936105
SH0200L5000_0,99,-99.0943484409716,8.88,19.451844993703
SH0200L5000_0,100,-99.0941911483266,8.9,19.4518479447803
SH0200L5000_0,101,-99.09403384988909,8.92,19.4518408530813
SH0200L5000_0,102,-99.0938810830229,8.94,19.4518237162573
SH0200L5000_0,103,-99.0936783939787,8.96,19.4517865198087
SH0200L5000_0,104,-99.0934923336953,8.98,19.4517349679294
SH0200L5000_0,105,-99.0933244179312,9.0,19.4516747985436
SH0200L5000_0,106,-99.0931701093642,9.02,19.4516060140324
SH0200L5000_0,107,-99.0930097413461,9.04,19.4515200165357
SH0200L5000_0,108,-99.09286449709472,9.06,19.45143257649
SH0200L5000_0,109,-99.0927283227517,9.08,19.451336523709603
SH0200L5000_0,110,-99.0926057531995,9.1,19.451227551909103
SH0200L5000_0,111,-99.0923591045841,9.14,19.45101391281289
SH0200L5000_0,112,-99.08817962227909,9.76,19.447074253693103
SH0200L5000_0,113,-99.087874459,9.81,19.446761198
SH0200L5000_0,114,-99.0877551687102,9.83,19.4466365920168
SH0200L5000_0,115,-99.0876609506624,9.85,19.44652311575161
SH0200L5000_0,116,-99.08755803193078,9.87,19.4463818510142
SH0200L5000_0,117,-99.0874868917099,9.88,19.446274285506803
SH0200L5000_0,118,-99.08741725783,9.9,19.446155241929
SH0200L5000_0,119,-99.08728630583929,9.93,19.4459121293613
SH0200L5000_0,120,-99.086400546077,10.16,19.4440015800877
SH0200L5000_0,121,-99.0857055461029,10.35,19.4424381249624
SH0200L5000_0,122,-99.08558139060094,10.38,19.44216703186689
SH0200L5000_0,123,-99.0855162713908,10.4,19.4419992067524
SH0200L5000_0,124,-99.0854693005488,10.42,19.4418313730637
SH0200L5000_0,125,-99.0854314174217,10.44,19.441689359054
SH0200L5000_0,126,-99.0854041358188,10.45,19.4415760333482
SH0200L5000_0,127,-99.08539047383827,10.46,19.44147884121169
SH0200L5000_0,128,-99.0853836060036,10.47,19.44135976723189
SH0200L5000_0,129,-99.08536898254808,10.49,19.44122183262749
SH0200L5000_0,130,-99.0853773252149,10.51,19.4410269845982
SH0200L5000_0,131,-99.085387898494,10.53,19.4408920643422
SH0200L5000_0,132,-99.0854044780065,10.54,19.4407844566433
SH0200L5000_0,133,-99.0854338880124,10.56,19.4406302162787
SH0200L5000_0,134,-99.08546256732028,10.57,19.440524754872698
SH0200L5000_0,135,-99.085532175093,10.59,19.4403383677588
SH0200L5000_0,136,-99.0856377389113,10.63,19.4400289954052
SH0200L5000_0,137,-99.0858634607644,10.7,19.4394378765357
SH0200L5000_0,138,-99.085938284,10.72,19.43923916500011
SH0200L5000_0,139,-99.08605012,10.76,19.438874227
SH0200L5000_0,140,-99.0861476218483,10.8,19.4385452142878
SH0200L5000_0,141,-99.08623361,10.86,19.438047834
SH0200L5000_0,142,-99.08644953919148,10.98,19.436948108208497
SH0200L5000_0,143,-99.08652891715028,11.03,19.4365249278321
SH0200L5000_0,144,-99.0865824955957,11.05,19.436328912876803
SH0200L5000_0,145,-99.08663981763571,11.07,19.4361189344076
SH0200L5000_0,146,-99.086698824904,11.09,19.4359709915404
SH0200L5000_0,147,-99.086815971,11.12,19.435710803000102
SH0200L5000_0,148,-99.0869350483678,11.14,19.4355236635879
