shape_id,shape_pt_sequence,shape_pt_lon,shape_dist_traveled,shape_pt_lat
SH0200L6000_0,1,-99.19976981604844,0.0,19.5046301438342
SH0200L6000_0,2,-99.200045525753,0.1,19.503781287305
SH0200L6000_0,3,-99.200256714,0.18,19.5031322300001
SH0200L6000_0,4,-99.201286958,0.55,19.4999426140001
SH0200L6000_0,5,-99.201357458,0.58,19.499715021
SH0200L6000_0,6,-99.201404801,0.6,19.4995105570001
SH0200L6000_0,7,-99.201417817,0.62,19.49929575
SH0200L6000_0,8,-99.201380662,0.65,19.499016938000103
SH0200L6000_0,9,-99.201281985,0.69,19.498682694
SH0200L6000_0,10,-99.2012185947068,0.71,19.4985390346397
SH0200L6000_0,11,-99.2011176936098,0.73,19.4983965855081
SH0200L6000_0,12,-99.2009578804778,0.76,19.4982079507956
SH0200L6000_0,13,-99.1999982089999,0.9,19.497302119
SH0200L6000_0,14,-99.19956108199992,0.97,19.4968342880001
SH0200L6000_0,15,-99.1992380629999,1.02,19.496462629000103
SH0200L6000_0,16,-99.198959967,1.07,19.4961275440001
SH0200L6000_0,17,-99.198818498,1.09,19.49595313
SH0200L6000_0,18,-99.1987460550872,1.1,19.4958964087031
SH0200L6000_0,19,-99.198646370349,1.11,19.4958235900156
SH0200L6000_0,20,-99.19852022402269,1.12,19.4957615601744
SH0200L6000_0,21,-99.1983133708752,1.14,19.4956816855318
SH0200L6000_0,22,-99.197993218,1.18,19.495563435000104
SH0200L6000_0,23,-99.193135871,1.72,19.4939158510001
SH0200L6000_0,24,-99.1928724002124,1.75,19.493814172030103
SH0200L6000_0,25,-99.192347699,1.81,19.493583271
SH0200L6000_0,26,-99.191991296944,1.85,19.4934220321506
SH0200L6000_0,27,-99.1915252131267,1.9,19.4932661558536
SH0200L6000_0,28,-99.1911234794385,1.94,19.49313908607261
SH0200L6000_0,29,-99.19067111,1.99,19.493004731
SH0200L6000_0,30,-99.190458153,2.01,19.492916598
SH0200L6000_0,31,-99.19036812385608,2.02,19.492856478285105
SH0200L6000_0,32,-99.190284836,2.03,19.4927840120001
SH0200L6000_0,33,-99.189950483,2.08,19.492471225
SH0200L6000_0,34,-99.18961070599993,2.13,19.492122646
SH0200L6000_0,35,-99.18936874199991,2.16,19.491913363
SH0200L6000_0,36,-99.1891711329999,2.18,19.4917939860001
SH0200L6000_0,37,-99.188985992,2.2,19.491704393000106
SH0200L6000_0,38,-99.188724824,2.23,19.491605309
SH0200L6000_0,39,-99.18188994699992,2.98,19.4896662420001
SH0200L6000_0,40,-99.181642579575,3.01,19.48961175673569
SH0200L6000_0,41,-99.1814318664992,3.03,19.4895567858704
SH0200L6000_0,42,-99.1812540804649,3.05,19.4895270753013
SH0200L6000_0,43,-99.181027151707,3.07,19.4895190518224
SH0200L6000_0,44,-99.1807107515706,3.1,19.489540769311
SH0200L6000_0,45,-99.1802226413198,3.15,19.4895878191018
SH0200L6000_0,46,-99.1774720583322,3.44,19.49001651132161
SH0200L6000_0,47,-99.1765128968413,3.54,19.490203953771
SH0200L6000_0,48,-99.1754592077132,3.65,19.4904141981162
SH0200L6000_0,49,-99.174592592,3.74,19.4905832210001
SH0200L6000_0,50,-99.17262289446998,3.95,19.490986202709
SH0200L6000_0,51,-99.1724804691942,3.97,19.4910150315018
SH0200L6000_0,52,-99.1723317316605,3.99,19.4910354973781
SH0200L6000_0,53,-99.1706133480722,4.17,19.4911514984263
SH0200L6000_0,54,-99.1702049143993,4.21,19.4911745981569
SH0200L6000_0,55,-99.17002804639807,4.23,19.4911758782791
SH0200L6000_0,56,-99.1698489389868,4.25,19.4911588055522
SH0200L6000_0,57,-99.1696991273741,4.27,19.4911294372927
SH0200L6000_0,58,-99.16932252013692,4.31,19.4910056580903
SH0200L6000_0,59,-99.167733625,4.49,19.490486983
SH0200L6000_0,60,-99.1664048780408,4.64,19.4900729685122
SH0200L6000_0,61,-99.16433908,4.87,19.489368958000103
SH0200L6000_0,62,-99.1641756138374,4.89,19.4893057171412
SH0200L6000_0,63,-99.1639869135894,4.91,19.489213402604
SH0200L6000_0,64,-99.1636381012776,4.95,19.4890212278246
SH0200L6000_0,65,-99.1614709564111,5.21,19.487850851605
SH0200L6000_0,66,-99.1613317043499,5.23,19.4877735043599
SH0200L6000_0,67,-99.1612136525541,5.24,19.4877176579555
SH0200L6000_0,68,-99.161101671799,5.25,19.4876818912384
SH0200L6000_0,69,-99.160926130513,5.27,19.4876217918129
SH0200L6000_0,70,-99.1606371271627,5.3,19.487557488928896
SH0200L6000_0,71,-99.1604525590112,5.32,19.4875476099647
SH0200L6000_0,72,-99.1602846454955,5.34,19.487552062620303
SH0200L6000_0,73,-99.15995089345672,5.38,19.4875951978939
SH0200L6000_0,74,-99.15967988792048,5.41,19.4876487120268
SH0200L6000_0,75,-99.1593426505409,5.45,19.4877364980481
SH0200L6000_0,76,-99.1591429499994,5.47,19.4878178828554
SH0200L6000_0,77,-99.15891175269206,5.5,19.4879525847618
SH0200L6000_0,78,-99.153408448129,6.2,19.4915398092476
SH0200L6000_0,79,-99.153213327185,6.22,19.4916688684951
SH0200L6000_0,80,-99.15310446750271,6.23,19.4917252898512
SH0200L6000_0,81,-99.15301373653652,6.24,19.4917655368728
SH0200L6000_0,82,-99.1528904800538,6.25,19.4918058113161
SH0200L6000_0,83,-99.1527157831579,6.27,19.491841107778303
SH0200L6000_0,84,-99.1525063361223,6.29,19.491856796511
SH0200L6000_0,85,-99.1521956944304,6.32,19.491845580651106
SH0200L6000_0,86,-99.1519152769149,6.35,19.4917999071938
SH0200L6000_0,87,-99.1506113409999,6.49,19.491544578000106
SH0200L6000_0,88,-99.146079855,6.98,19.490632276
SH0200L6000_0,89,-99.1457224597762,7.02,19.4905652957781
SH0200L6000_0,90,-99.1454551443399,7.05,19.4905052551914
SH0200L6000_0,91,-99.1452523726944,7.07,19.4904422931358
SH0200L6000_0,92,-99.1451260844586,7.08,19.4903994178638
SH0200L6000_0,93,-99.1448520914979,7.11,19.49030269505489
SH0200L6000_0,94,-99.14458727308642,7.14,19.490214436298896
SH0200L6000_0,95,-99.1443726598292,7.16,19.4901572313506
SH0200L6000_0,96,-99.143298965,7.28,19.4899252050001
SH0200L6000_0,97,-99.139357581,7.7,19.489127561
SH0200L6000_0,98,-99.1390097283623,7.74,19.4890580032176
SH0200L6000_0,99,-99.138616350556,7.78,19.4889961363494
SH0200L6000_0,100,-99.1366360059999,7.99,19.4887763790001
SH0200L6000_0,101,-99.13651673716552,8.0,19.4887586220524
SH0200L6000_0,102,-99.1364284723214,8.01,19.4887359731867
SH0200L6000_0,103,-99.13625696581828,8.03,19.4886673583896
SH0200L6000_0,104,-99.1343002426164,8.26,19.48775237381989
SH0200L6000_0,105,-99.1340354442055,8.29,19.48767653322589
SH0200L6000_0,106,-99.13370862698144,8.33,19.487606476667
SH0200L6000_0,107,-99.1309039476403,8.63,19.486987917293103
SH0200L6000_0,108,-99.1307238831862,8.65,19.4869320957588
SH0200L6000_0,109,-99.13054985153008,8.67,19.486853315194303
SH0200L6000_0,110,-99.1303742739736,8.69,19.4867329305391
SH0200L6000_0,111,-99.1301389449999,8.72,19.486562639000105
SH0200L6000_0,112,-99.12714090290709,9.12,19.4843669697415
SH0200L6000_0,113,-99.1269183843075,9.15,19.4841809392152
SH0200L6000_0,114,-99.1266358315489,9.19,19.48395733049789
SH0200L6000_0,115,-99.1264723634033,9.21,19.483838846401
SH0200L6000_0,116,-99.1263210211406,9.23,19.4837509597143
